意味,意味読み,歌,歌読み
広い海へ舟をこぎ出すと、沖には白波がどこまでも続いている。遠くの雲と見分けがつかないほどだ。,広いうみへ舟をこぎ出すと、沖にはしらなみがどこまでも続いている。遠くの雲と見分けがつかないほどだ。,わたの原　漕ぎ出でて見れば　久方の　雲居にまがふ　沖つ白波,わたのはら、こぎいでてみれば、ひさかたの、くもいにまがう、おきつしらなみ
急な川の流れは、岩にせき止められて二つに分かれても、また一つになる。私たちも今は離れていても、いつか必ず会おうと思う。,急な川の流れは、岩にせき止められて二つに分かれても、また一つになる。私たちも今は離れていても、いつか必ず会おうと思う。,瀬をはやみ　岩にせかるる　滝川の　われても末に　逢はむとぞ思ふ,せおはやみ、いわにせかるる、たきがわの、われてもすえに、あわんとぞおもう
淡路島から渡ってくる千鳥の声に、須磨の番人は目を覚ます。こんな夜を、これまで幾度迎えたのだろう。,あわじしまから渡ってくるちどりの声に、すまの番人は目を覚ます。こんな夜を、これまで幾度迎えたのだろう。,淡路島　かよふ千鳥の　鳴く声に　幾夜寝覚めぬ　須磨の関守,あわじしま、かようちどりの、なくこえに、いくよねざめぬ、すまのせきもり
秋風に流れる雲が途切れ、その間から月の光が差してくる。なんと澄みきった明るさだろう。,秋風に流れる雲が途切れ、そのあいだから月の光が差してくる。なんと澄みきった明るさだろう。,秋風に　たなびく雲の　絶え間より　もれ出づる月の　影のさやけさ,あきかぜに、たなびくくもの、たえまより、もれいずるつきの、かげのさやけさ
あなたの心がこの先も変わらないか、私には分からない。今朝は黒髪が乱れるように、心も乱れて思い悩んでいる。,あなたの心がこの先も変わらないか、私には分からない。今朝は黒髪が乱れるように、心も乱れて思い悩んでいる。,長からむ　心もしらず　黒髪の　みだれて今朝は　物をこそ思へ,ながからん、こころもしらず、くろかみの、みだれてけさわ、ものおこそおもえ
ほととぎすが鳴いた方へ目を向けたが、もう姿はない。明け方の月だけが、空に残っている。,ほととぎすが鳴いた方へ目を向けたが、もう姿はない。明け方の月だけが、空に残っている。,ほととぎす　鳴きつる方を　ながむれば　ただ有明の　月ぞ残れる,ほととぎす、なきつるかたお、ながむれば、ただありあけの、つきぞのこれる
恋に苦しんでも、命はまだ絶えずにいる。それなのに、涙の方はつらさをこらえきれず、流れ出てしまう。,恋に苦しんでも、命はまだ絶えずにいる。それなのに、涙の方はつらさをこらえきれず、流れ出てしまう。,思ひわび　さても命は　あるものを　憂きにたへぬは　涙なりけり,おもいわび、さてもいのちわ、あるものお、うきにたえぬわ、なみだなりけり
この世のつらさから逃れる道は、どこにもないのか。思い詰めて入った山奥でさえ、悲しげな鹿の声が聞こえてくる。,この世のつらさから逃れる道は、どこにもないのか。思い詰めて入った山奥でさえ、悲しげなしかの声が聞こえてくる。,世の中よ　道こそなけれ　思ひ入る　山の奥にも　鹿ぞ鳴くなる,よのなかよ、みちこそなけれ、おもいいる、やまのおくにも、しかぞなくなる
生き続けていたら、今のつらい日々も、いつか懐かしくなるのだろうか。苦しいと思っていた昔が、今では恋しいのだから。,生き続けていたら、今のつらい日々も、いつか懐かしくなるのだろうか。苦しいと思っていた昔が、今では恋しいのだから。,ながらへば　またこのごろや　しのばれむ　憂しと見し世ぞ　今は恋しき,ながらえば、またこのごろや、しのばれん、うしとみしよぞ、いまわこいしき
一晩中思い悩んでいると、なかなか夜が明けない。寝室の隙間さえ、朝の光を入れてくれず、冷たく感じられる。,一晩じゅう思い悩んでいると、なかなか夜が明けない。寝室の隙間さえ、朝の光を入れてくれず、冷たく感じられる。,夜もすがら　物思ふころは　明けやらで　閨のひまさへ　つれなかりけり,よもすがら、ものおもうころわ、あけやらで、ねやのひまさえ、つれなかりけり
月が、嘆けと言って私を悩ませているわけではないのに。こぼれる涙は、まるで月のせいだと言わんばかりだ。,月が、なげけと言って私を悩ませているわけではないのに。こぼれる涙は、まるで月のせいだと言わんばかりだ。,嘆けとて　月やは物を　思はする　かこち顔なる　我が涙かな,なげけとて、つきやわものお、おもわする、かこちがおなる、わがなみだかな
通り雨が残した露は、木の葉でまだ乾いていない。その木々の辺りから霧が立ち上る、秋の夕暮れだ。,通り雨が残した露は、木の葉でまだ乾いていない。その木々の辺りから霧が立ち上る、秋の夕暮れだ。,村雨の　露もまだひぬ　真木の葉に　霧立ちのぼる　秋の夕暮,むらさめの、つゆもまだひぬ、まきの葉に、きりたちのぼる、あきのゆうぐれ
難波の入江の葦の節ほど、ほんの短い夜をあなたと過ごした。そのために、これからも身を尽くして恋い慕い続けるのでしょうか。,なにわの入江のあしのふしほど、ほんの短い夜をあなたと過ごした。そのために、これからも身を尽くして恋い慕い続けるのでしょうか。,難波江の　蘆のかりねの　ひとよゆゑ　みをつくしてや　恋ひわたるべき,なにわえの、あしのかりねの、ひとよゆえ、みおつくしてや、こいわたるべき
玉をつなぐ糸のような命よ、切れるなら切れてしまえ。このまま生きていては、こらえてきた恋心を隠しきれなくなる。,玉をつなぐ糸のような命よ、切れるなら切れてしまえ。このまま生きていては、こらえてきた恋心を隠しきれなくなる。,玉のをよ　たえなばたえね　ながらへば　忍ぶることの　弱りもぞする,たまのおよ、たえなばたえね、ながらえば、しのぶることの、よわりもぞする
あなたに見せたい、涙で色まで変わった私の袖を。雄島の漁師の袖でさえ、水にぬれただけでは、これほどにはならないでしょう。,あなたに見せたい、涙で色まで変わった私のそでを。おじまの漁師のそででさえ、水にぬれただけでは、これほどにはならないでしょう。,見せばやな　雄島の海人の　袖だにも　濡れにぞ濡れし　色は変はらず,みせばやな、おじまのあまの、そでだにも、ぬれにぞぬれし、いろわかわらず
霜の降りる寒い夜に、こおろぎが鳴いている。むしろの上に着物の片袖を敷き、私はひとりで寝るのだろうか。,霜のおりる寒い夜に、こおろぎが鳴いている。むしろの上に着物のかたそでをしき、私はひとりで寝るのだろうか。,きりぎりす　鳴くや霜夜の　さむしろに　衣かたしき　ひとりかも寝む,きりぎりす、なくやしもよの、さむしろに、ころもかたしき、ひとりかもねん
潮が引いても水の下に隠れている沖の岩のように、私の袖も、人知れず涙にぬれ続け、乾く間がない。,潮が引いても水の下に隠れている沖の岩のように、私のそでも、ひとしれず涙にぬれ続け、乾くまがない。,我が袖は　潮干に見えぬ　沖の石の　人こそ知らね　乾く間もなし,わがそでわ、しおひにみえぬ、おきのいしの、ひとこそしらね、かわくまもなし
世の中がいつまでも変わらずにあってほしい。渚に沿って小舟を綱で引く漁師の姿が、心にしみる。,世の中がいつまでも変わらずにあってほしい。渚に沿って小舟を綱で引く漁師の姿が、心にしみる。,世の中は　常にもがもな　渚漕ぐ　海人の小舟の　綱手かなしも,よのなかわ、つねにもがもな、なぎさこぐ、あまのおぶねの、つなでかなしも
かつて都だった吉野では、秋風が吹き、夜が更けていく。冷たく響いてくるのは、布を打つ音だ。,かつて都だったよしのでは、秋風が吹き、よが更けていく。冷たく響いてくるのは、布を打つおとだ。,み吉野の　山の秋風　小夜ふけて　ふるさと寒く　衣うつなり,みよしのの、やまのあきかぜ、さよふけて、ふるさとさむく、ころもうつなり
力の及ばぬ願いかもしれないが、この山の僧となったからには、墨色の僧衣の袖を広げ、苦しむ人々を包んで守りたい。,力の及ばぬ願いかもしれないが、この山の僧となったからには、すみいろのそういのそでを広げ、苦しむ人々をつつんで守りたい。,おほけなく　憂き世の民に　おほふかな　我が立つ杣に　墨染の袖,おおけなく、うきよのたみに、おおうかな、わがたつそまに、すみぞめのそで
嵐に散る桜が、庭に雪のように降っている。その花びらを眺めていると、古びて衰えていくのは、この私自身なのだと感じる。,嵐に散る桜が、庭に雪のようにふっている。その花びらを眺めていると、古びて衰えていくのは、この私自身なのだと感じる。,花さそふ　あらしの庭の　雪ならで　ふりゆくものは　我が身なりけり,花さそう、あらしのにわの、ゆきならで、ふりゆくものわ、わがみなりけり
来てくれない人を待つ私は、松帆の浦の夕なぎに焼く藻塩のように、身を焦がして恋い慕っている。,来てくれない人を待つ私は、まつほの浦の夕なぎに焼くもしおのように、身を焦がして恋い慕っている。,来ぬ人を　まつほの浦の　夕なぎに　焼くや藻塩の　身もこがれつつ,こぬひとお、まつほのうらの、ゆうなぎに、やくやもしおの、みもこがれつつ
風がそよぐ楢の小川の夕暮れは、もう秋のようだ。ここで身を清める行事をしているのを見て、まだ夏なのだと気づく。,風がそよぐならの小川の夕暮れは、もう秋のようだ。ここで身を清める行事をしているのを見て、まだ夏なのだと気づく。,風そよぐ　ならの小川の　夕暮は　みそぎぞ夏の　しるしなりける,かぜそよぐ、ならのおがわの、ゆうぐれわ、みそぎぞなつの、しるしなりける
人をいとしく思うこともあれば、恨めしく思うこともある。思いどおりにならない世の中に悩みながら、私はあれこれと思い巡らす。,人をいとしく思うこともあれば、恨めしく思うこともある。思いどおりにならない世の中に悩みながら、私はあれこれと思い巡らす。,人もをし　人もうらめし　あぢきなく　世を思ふゆゑに　物思ふ身は,ひともおし、ひともうらめし、あじきなく、よおおもうゆえに、ものおもうみわ
昔の宮殿の軒には、しのぶ草が生えている。どれほど昔を思っても尽きることがなく、あの栄えた時代がますます恋しくなる。,昔の宮殿ののきには、しのぶ草が生えている。どれほど昔を思っても尽きることがなく、あの栄えた時代がますます恋しくなる。,ももしきや　古き軒端の　しのぶにも　なほあまりある　昔なりけり,ももしきや、ふるきのきばの、しのぶにも、なおあまりある、むかしなりけり
